ApprovalFY,DisbursementGross_num,State,UrbanRural_f,SBA_Portion,NAICS_sector,NoEmp,SBA_Appv_num,Bank,PaidInFull
2002,699000.0,CA,Urban,0.75,48,26,524250.0,OPUS BANK,1
2005,5000.0,OH,Rural,0.5,56,3,2500.0,CITIZENS BANK NATL ASSOC,1
2001,1252000.0,TX,Rural,0.75,72,27,939000.0,SMALL BUS. LOAN SOURCE LLC,1
2008,124116.0,UT,Rural,0.5,48,6,20000.0,ZIONS FIRST NATIONAL BANK,1
2003,380000.0,KS,Rural,0.75,72,12,285000.0,BANCCENTRAL NATL ASSOC,1
2001,61500.0,PA,Urban,0.85,44,6,52275.0,"PNC BANK, NATIONAL ASSOCIATION",1
2007,613000.0,CO,Rural,0.75,44,2,459750.0,WILSHIRE BANK,0
2006,50000.0,CA,Urban,0.5,52,29,25000.0,BANK OF AMERICA NATL ASSOC,0
2010,110000.0,MN,Rural,0.85,11,0,93500.0,MERCHANTS BANK NATL ASSOC,1
2000,247000.0,IN,Urban,1.0,23,41,255000.0,PREMIER CAPITAL CORPORATION,1
2007,127573.0,IL,Urban,0.5,54,8,40000.0,BANK OF AMERICA NATL ASSOC,0
2008,75000.0,IL,Urban,0.5,42,7,25000.0,BANK OF AMERICA NATL ASSOC,0
2005,35000.0,NC,Urban,0.5,23,9,17500.0,BANK OF AMERICA NATL ASSOC,1
2005,25000.0,CA,Urban,0.5,45,18,12500.0,BANK OF AMERICA NATL ASSOC,0
2001,330500.0,CA,Urban,0.75,44,1,247875.0,BBCN BANK,1
2007,35000.0,UT,Urban,0.5,44,8,17500.0,AMERICA FIRST FCU,1
2001,235000.0,WV,Urban,0.75,45,4,176250.0,THE HUNTINGTON NATIONAL BANK,1
2007,121831.0,NY,Urban,0.5,23,6,12500.0,JPMORGAN CHASE BANK NATL ASSOC,1
2003,29417.0,NY,Rural,0.5,44,5,12500.0,CATTARAUGUS COUNTY BANK,1
2007,138257.0,FL,Rural,0.5,81,4,25000.0,CAPITAL ONE NATL ASSOC,0
2006,57924.0,CA,Urban,0.5,23,3,15000.0,WELLS FARGO BANK NATL ASSOC,0
2001,124622.0,RI,Urban,0.5,44,10,25000.0,BANK OF AMERICA NATL ASSOC,1
2005,5000.0,RI,Urban,0.5,44,1,2500.0,CITIZENS BANK NATL ASSOC,1
2009,900000.0,CA,Urban,0.9,62,12,891000.0,U.S. BANK NATIONAL ASSOCIATION,1
2003,25000.0,CA,Urban,0.5,23,1,12500.0,CITIBANK INTERNATIONAL,1
2005,50000.0,FL,Rural,0.5,81,12,25000.0,CAPITAL ONE NATL ASSOC,1
2009,665000.0,WA,Rural,0.9,44,9,598500.0,HOMETOWN NATIONAL BANK,1
2008,30000.0,MA,Rural,0.85,62,24,25500.0,"TD BANK, NATIONAL ASSOCIATION",1
2008,100000.0,NY,Urban,0.5,44,4,50000.0,JPMORGAN CHASE BANK NATL ASSOC,0
2004,236000.0,WA,Urban,1.0,81,4,239000.0,EVERGREEN BUSINESS CAPITAL,1
2008,350000.0,NY,Urban,0.75,81,3,262500.0,SHINHAN BANK AMERICA,1
2001,800000.0,NY,Urban,0.75,81,70,600000.0,PROGRESSIVE CU,1
2005,195852.0,RI,Urban,0.5,81,1,25000.0,CITIZENS BANK NATL ASSOC,1
2007,190063.0,TX,Urban,0.5,23,3,40000.0,BANK OF AMERICA NATL ASSOC,0
2002,1044265.0,OH,Rural,0.750000239402834,72,7,783199.0,UNITED MIDWEST SAVINGS BANK,1
2007,29560.0,FL,Urban,0.5,81,1,7500.0,DESERET FIRST FCU,1
2007,200000.0,FL,Rural,0.5,62,1,100000.0,SUNTRUST BANK,1
2006,60000.0,MI,Urban,0.5,81,8,30000.0,FIFTH THIRD BANK,1
2007,918350.0,OK,Urban,0.5,33,20,175000.0,BANCFIRST,1
2010,125000.0,FL,Urban,0.5,44,4,62500.0,SUNTRUST BANK,1
2005,300000.0,OH,Urban,0.75,33,11,225000.0,THE HUNTINGTON NATIONAL BANK,1
2004,334000.0,NY,Urban,1.0,23,25,334000.0,EMPIRE ST. CERT. DEVEL CORP,1
2005,9500.0,NC,Urban,0.5,56,1,4750.0,BANK OF AMERICA NATL ASSOC,1
2005,150000.0,MS,Rural,0.85,11,4,127500.0,"COMMUNITY BANK, ELLISVILLE",1
2006,537824.0,IL,Urban,0.5,54,9,100000.0,BANK OF AMERICA NATL ASSOC,0
2007,127399.0,NV,Rural,0.5,23,2,25000.0,JPMORGAN CHASE BANK NATL ASSOC,0
2008,86450.0,GA,Urban,0.5,33,6,25000.0,JPMORGAN CHASE BANK NATL ASSOC,0
2008,33498.0,TX,Urban,0.5,54,2,12500.0,JPMORGAN CHASE BANK NATL ASSOC,0
2000,10000.0,MA,Urban,0.5,42,1,5000.0,BANK OF AMERICA NATL ASSOC,1
2008,5000.0,TN,Rural,0.85,54,1,4250.0,"SUPERIOR FINANCIAL GROUP, LLC",0
2005,46952.0,FL,Urban,0.5,42,1,12500.0,SUNTRUST BANK,0
2005,768000.0,TX,Rural,0.75,44,7,576000.0,"NEXBANK, SSB",1
2010,589000.0,TN,Urban,0.75,71,2,441750.0,COMMUNITY TR & BK. CO,1
2005,50000.0,PA,Rural,0.5,81,5,25000.0,CAPITAL ONE NATL ASSOC,1
2007,35000.0,TX,Urban,0.5,62,3,17500.0,BBCN BANK,0
2009,118200.0,WI,Rural,0.65,44,38,76830.0,ASSOCIATED BANK NATL ASSOC,1
2007,5000.0,NY,Urban,0.5,81,3,2500.0,CITIZENS BANK NATL ASSOC,1
2006,112500.0,TX,Urban,0.85,44,1,127500.0,TRANSPECOS BANKS,1
2006,25000.0,FL,Rural,0.85,42,3,21250.0,"BUSINESS LOAN CENTER, LLC",0
2008,5000.0,SC,Urban,0.85,54,2,4250.0,"SUPERIOR FINANCIAL GROUP, LLC",0
2001,437340.0,CA,Urban,0.5,23,10,75000.0,WELLS FARGO BANK NATL ASSOC,1
2006,399561.0,AZ,Urban,0.5,44,3,50000.0,JPMORGAN CHASE BANK NATL ASSOC,1
2006,47044.0,CT,Urban,0.5,72,5,17000.0,CITIZENS BANK NATL ASSOC,1
2007,49999.0,NJ,Urban,0.5,44,2,12500.0,JPMORGAN CHASE BANK NATL ASSOC,1
2001,195000.0,CA,Urban,0.75,44,2,146250.0,BBCN BANK,1
2002,200000.0,ND,Urban,0.75,23,7,150000.0,BELL STATE BANK & TRUST,1
1999,265000.0,IA,Rural,0.75,54,8,198750.0,LANDMANDS BANK,1
2006,25000.0,MA,Urban,0.5,71,25,12500.0,CITIZENS BANK NATL ASSOC,1
2003,535000.0,MN,Urban,1.0,62,16,556000.0,SPEDCO,1
2002,14255.0,NJ,Urban,0.5,54,1,5000.0,CITIZENS BANK NATL ASSOC,1
2003,10000.0,FL,Urban,0.5,56,5,5000.0,BANK OF AMERICA NATL ASSOC,1
2004,20000.0,PA,Urban,0.5,44,6,10000.0,ENTERPRISE BANK,1
2005,30000.0,GA,Urban,0.5,81,3,15000.0,BANK OF AMERICA NATL ASSOC,0
2006,44314.0,TX,Urban,0.5,54,2,7500.0,CAPITAL ONE NATL ASSOC,1
2006,27875.0,OH,Urban,0.5,72,2,10000.0,KEYBANK NATIONAL ASSOCIATION,1
2000,470000.0,DC,Urban,0.75,72,1,352500.0,CITY 1ST BK OF D.C. NATL ASSOC,1
2004,100000.0,FL,Urban,0.5,32,34,50000.0,BANK OF AMERICA NATL ASSOC,1
2010,2000000.0,NV,Urban,0.75,33,25,1500000.0,U.S. BANK NATIONAL ASSOCIATION,1
2010,25000.0,IL,Urban,0.85,81,4,21250.0,BBCN BANK,0
2004,44942.0,WI,Rural,0.5,71,2,15000.0,ASSOCIATED BANK NATL ASSOC,1
2006,30000.0,KY,Urban,0.5,33,6,12500.0,"PNC BANK, NATIONAL ASSOCIATION",0
2007,25300.0,CO,Urban,0.5,81,1,12500.0,WELLS FARGO BANK NATL ASSOC,1
2000,226000.0,GA,Urban,1.0,54,7,226000.0,GEORGIA CERT. DEVEL CORP,1
2009,37617.0,OR,Rural,0.5,72,15,10000.0,CHETCO FCU,0
2006,103500.0,WI,Rural,0.85,48,4,87975.0,BANK FIRST NATIONAL,1
2003,303000.0,KS,Urban,1.0,23,10,303000.0,WAKARUSA VALLEY DEVELOPMENT IN,1
2004,77177.0,MI,Urban,0.5,44,3,12500.0,JPMORGAN CHASE BANK NATL ASSOC,1
2009,44991.0,UT,Urban,0.5,62,2,15000.0,MOUNTAIN AMERICA FCU,0
2006,9431.0,GA,Urban,0.5,81,3,5000.0,BANK OF AMERICA NATL ASSOC,0
2007,50000.0,CA,Urban,0.5,62,1,25000.0,CAPITAL ONE NATL ASSOC,1
2005,15000.0,NC,Urban,0.5,45,1,7500.0,BANK OF AMERICA NATL ASSOC,1
2005,65000.0,NH,Rural,0.5,54,3,32500.0,CITIZENS BANK NATL ASSOC,1
2008,73306.0,IL,Urban,0.5,45,1,12500.0,JPMORGAN CHASE BANK NATL ASSOC,1
2005,12000.0,KS,Urban,0.5,56,1,6000.0,BANK OF AMERICA NATL ASSOC,1
2004,100000.0,NJ,Urban,0.5,44,4,50000.0,BANK OF AMERICA NATL ASSOC,1
2001,80661.0,MA,Urban,0.5,33,8,25000.0,BANK OF AMERICA NATL ASSOC,1
2006,72000.0,IA,Rural,0.85,23,15,61200.0,CEDAR RAPIDS BK & TR CO,1
2005,100000.0,FL,Urban,0.5,48,5,50000.0,CAPITAL ONE NATL ASSOC,0
2010,250200.0,CA,Urban,0.5,62,2,125100.0,JPMORGAN CHASE BANK NATL ASSOC,1
2006,75000.0,CO,Rural,0.85,72,4,63750.0,FIRST NATIONAL BANK OF OMAHA,1
2005,158159.0,IN,Urban,0.5,81,16,25000.0,"PNC BANK, NATIONAL ASSOCIATION",0
2007,15300.0,WV,Rural,0.5,62,2,7650.0,JPMORGAN CHASE BANK NATL ASSOC,0
2004,161457.0,MA,Urban,0.5,54,2,25000.0,CITIZENS BANK NATL ASSOC,1
2009,111745.0,IL,Urban,0.5,54,4,25000.0,JPMORGAN CHASE BANK NATL ASSOC,1
2001,260500.0,OK,Urban,0.75,54,9,195375.0,"BOKF, NATIONAL ASSOCIATION",1
2007,140376.0,CA,Urban,0.5,71,12,25000.0,U.S. BANK NATIONAL ASSOCIATION,1
2004,30000.0,MD,Urban,0.5,23,11,15000.0,BANK OF AMERICA NATL ASSOC,1
2005,150000.0,CT,Urban,0.85,23,1,127500.0,FIRST COUNTY BANK,0
2008,115927.0,GA,Urban,0.85,42,3,127500.0,BRANCH BK. & TR CO,0
2002,110111.0,NY,Urban,0.5,45,3,30750.0,BANK OF AMERICA NATL ASSOC,0
2007,35000.0,CA,Urban,0.5,33,1,17500.0,CAPITAL ONE NATL ASSOC,1
2006,10000.0,CT,Urban,0.5,56,3,26250.0,BANK OF AMERICA NATL ASSOC,1
2006,151484.0,CA,Urban,0.5,42,2,25000.0,WELLS FARGO BANK NATL ASSOC,1
2005,50000.0,TX,Urban,0.5,42,1,25000.0,CAPITAL ONE NATL ASSOC,1
2006,34186.0,WA,Rural,0.5,81,1,7500.0,U.S. BANK NATIONAL ASSOCIATION,1
2006,1228065.0,OK,Urban,0.5,48,3,175000.0,BANCFIRST,1
2004,13506.0,NM,Urban,0.5,62,1,5000.0,BANK OF AMERICA NATL ASSOC,1
2003,57000.0,OK,Rural,1.0,81,3,57000.0,RURAL ENTER. OF OKLAHOMA INC.,1
2007,29473.0,OH,Urban,0.5,52,1,12500.0,JPMORGAN CHASE BANK NATL ASSOC,1
2006,35500.0,NH,Rural,0.5,11,1,17750.0,MASCOMA SAVINGS BANK,1
2007,9000.0,NJ,Urban,0.5,72,2,3000.0,BANK OF AMERICA NATL ASSOC,0
2002,183825.0,HI,Urban,0.5,44,8,75000.0,FIRST HAWAIIAN BANK,1
2007,21600.0,KY,Urban,0.5,44,0,10800.0,THE HUNTINGTON NATIONAL BANK,1
2003,205300.0,LA,Rural,0.75,48,3,153975.0,WHITNEY BANK,0
2006,7371.0,TN,Urban,0.5,56,6,2500.0,BANK OF AMERICA NATL ASSOC,1
2007,177000.0,CA,Urban,0.75,81,2,132750.0,UMPQUA BANK,0
2008,15000.0,MA,Urban,0.5,23,1,7500.0,CAPITAL ONE NATL ASSOC,1
2007,459485.0,MI,Rural,0.5,44,1,90000.0,ISABELLA BANK,1
2008,10000.0,CA,Urban,0.5,44,2,5000.0,BANK OF AMERICA NATL ASSOC,0
2008,13000.0,WI,Urban,0.5,54,1,6500.0,ASSOCIATED BANK NATL ASSOC,1
2005,76000.0,MA,Urban,0.5,44,1,38000.0,CITIZENS BANK NATL ASSOC,1
2006,10000.0,CA,Urban,0.5,54,2,5000.0,BANK OF AMERICA NATL ASSOC,1
2003,13885.0,FL,Urban,0.5,71,2,5000.0,BANK OF AMERICA NATL ASSOC,1
2008,319788.0,VA,Rural,0.5,42,6,100000.0,BRANCH BK. & TR CO,0
2003,50000.0,IN,Urban,0.5,81,10,25000.0,"PNC BANK, NATIONAL ASSOCIATION",1
2003,400000.0,IN,Urban,0.75,33,4,300000.0,FORUM CU,1
2004,50051.0,HI,Rural,0.5,44,3,25000.0,BANK OF HAWAII,1
2006,124205.0,UT,Urban,0.5,44,50,25000.0,ZIONS FIRST NATIONAL BANK,0
2005,94970.0,AZ,Urban,0.5,45,6,12500.0,WELLS FARGO BANK NATL ASSOC,1
2003,200000.0,NC,Rural,0.75,33,47,150000.0,CAPITAL BANK NATL ASSOC,1
2005,64111.0,NY,Urban,0.5,51,2,25000.0,JPMORGAN CHASE BANK NATL ASSOC,1
2008,18000.0,AL,Urban,0.85,42,1,15300.0,REDSTONE FCU,1
2009,35000.0,VA,Rural,1.0,48,12,35000.0,VIRGINIA COMPANY BANK,1
2007,20000.0,TX,Urban,0.85,51,3,17000.0,BBCN BANK,1
2009,200000.0,MA,Urban,0.5,81,77,100000.0,SANTANDER BANK NATL ASSOC,1
2007,74648.0,HI,Rural,0.5,54,1,25000.0,BANK OF HAWAII,1
2002,35000.0,NJ,Urban,0.5,44,1,17500.0,BANK OF AMERICA NATL ASSOC,1
2009,25000.0,OH,Urban,0.5,71,0,12500.0,THE HUNTINGTON NATIONAL BANK,1
2000,275000.0,RI,Urban,0.75,33,16,206250.0,UPS CAPITAL BUSINESS CREDIT,1
2006,28259.0,MI,Urban,0.5,48,2,15000.0,CITIZENS BANK NATL ASSOC,0
2003,108491.0,FL,Urban,0.75,23,6,225000.0,BANKFIRST,1
2003,240000.0,MN,Urban,0.75,72,8,180000.0,COMMUNITY PRIDE BANK,1
2004,16013.0,MI,Urban,0.5,45,2,7500.0,"PNC BANK, NATIONAL ASSOCIATION",1
2010,74675.0,CO,Rural,0.5,23,19,25000.0,COMPASS BANK,1
2006,37567.0,IA,Urban,0.85,62,2,49810.0,VISIONBANK OF IOWA,0
2004,49965.0,PA,Urban,0.5,23,1,15000.0,CITIZENS BANK OF PENNSYLVANIA,1
2008,115968.0,NY,Urban,0.5,53,3,25000.0,JPMORGAN CHASE BANK NATL ASSOC,1
2003,250000.0,NJ,Urban,0.5,42,20,125000.0,"COMMERCE BANK, A DIVISION OF",1
1999,15000.0,NY,Urban,0.5,81,1,7500.0,"CITIBANK, N.A.",1
2010,23500.0,AZ,Rural,0.5,56,14,12150.0,MIDFIRST BANK,1
2005,40000.0,OR,Urban,0.5,56,5,20000.0,BANK OF AMERICA NATL ASSOC,0
1999,120200.0,CA,Urban,0.75,23,3,90150.0,WELLS FARGO BANK NATL ASSOC,1
2005,57500.0,PA,Rural,0.5,48,1,28750.0,"PNC BANK, NATIONAL ASSOCIATION",0
2007,34331.0,AZ,Rural,0.5,31,8,7500.0,BMO HARRIS BK NATL ASSOC,1
2005,138150.0,OH,Rural,0.5,44,7,50000.0,THE HUNTINGTON NATIONAL BANK,1
2005,30000.0,FL,Urban,0.5,42,4,15000.0,SUNTRUST BANK,1
2003,225000.0,CA,Urban,0.75,72,1,168750.0,AMERICANWEST BANK,1
2005,20000.0,NJ,Rural,0.5,44,6,10000.0,BANK OF AMERICA NATL ASSOC,1
2005,25000.0,TX,Urban,0.85,81,3,21250.0,"BUSINESS LOAN CENTER, LLC",1
2002,543000.0,IN,Urban,0.75,72,40,407250.0,THE HUNTINGTON NATIONAL BANK,0
2010,7500.0,FL,Urban,0.85,44,1,6375.0,"SUPERIOR FINANCIAL GROUP, LLC",0
2004,13660.0,NC,Urban,0.5,81,1,5000.0,BANK OF AMERICA NATL ASSOC,1
2007,307650.0,CA,Urban,0.5,54,10,75000.0,AMERICANWEST BANK,0
2006,59635.0,FL,Urban,0.5,42,5,15000.0,JPMORGAN CHASE BANK NATL ASSOC,0
2006,127619.0,WI,Rural,0.5,53,6,25000.0,U.S. BANK NATIONAL ASSOCIATION,0
2006,15000.0,KS,Rural,0.5,23,4,5000.0,BANK OF AMERICA NATL ASSOC,1
2004,20000.0,ID,Rural,0.5,23,3,10000.0,WELLS FARGO BANK NATL ASSOC,1
2003,1385000.0,CA,Urban,0.722020216606498,62,7,999998.0,SMALL BUS. LOAN SOURCE LLC,1
2010,900000.0,CO,Urban,0.9,72,2,810000.0,BBCN BANK,1
2006,11833.0,CT,Urban,0.5,48,1,2500.0,CITIZENS BANK NATL ASSOC,1
2007,25000.0,OR,Urban,0.85,81,3,21250.0,U.S. BANK NATIONAL ASSOCIATION,1
2005,99305.0,MD,Urban,0.5,54,5,25000.0,MANUFACTURERS & TRADERS TR CO,1
2005,101391.0,AZ,Urban,0.5,54,3,12500.0,JPMORGAN CHASE BANK NATL ASSOC,0
2004,65100.0,NH,Urban,0.5,23,1,17500.0,CITIZENS BANK NATL ASSOC,0
2010,90879.0,ID,Urban,0.5,45,1,12500.0,U.S. BANK NATIONAL ASSOCIATION,1
2009,276000.0,OH,Rural,1.0,71,1,279000.0,HAMILTON CNTY DEVEL COMPANY IN,1
2007,13423.0,FL,Urban,0.5,81,6,4500.0,BANK OF AMERICA NATL ASSOC,0
2010,50000.0,CA,Rural,0.9,81,8,45000.0,FIVE STAR BANK,1
2004,218184.0,IN,Urban,0.5,42,5,87500.0,JPMORGAN CHASE BANK NATL ASSOC,1
2005,45587.0,DE,Rural,0.5,23,2,37500.0,CITIZENS BANK NATL ASSOC,1
2009,60000.0,CA,Rural,0.5,54,6,30000.0,JPMORGAN CHASE BANK NATL ASSOC,1
2005,37557.0,NY,Urban,0.5,52,1,20550.0,CITIZENS BANK NATL ASSOC,1
2009,300000.0,CT,Urban,0.9,42,2,270000.0,UNION SAVINGS BANK,1
2004,10000.0,GA,Urban,0.5,44,1,5000.0,BANK OF AMERICA NATL ASSOC,1
2008,120000.0,ND,Rural,0.85,33,12,102000.0,AMERICAN FEDERAL BANK,1
2008,233500.0,NV,Urban,0.75,44,1,175125.0,COMERICA BANK,0
2006,100000.0,PA,Urban,0.5,32,2,50000.0,CITIZENS BANK NATL ASSOC,0
2005,75000.0,CO,Rural,0.5,33,10,37500.0,CAPITAL ONE NATL ASSOC,1
2008,25000.0,NY,Urban,0.5,42,8,12500.0,BANCO POPULAR NORTH AMERICA,0
1999,15000.0,NY,Urban,0.5,51,3,7500.0,"CITIBANK, N.A.",1
2007,82531.0,NY,Urban,0.5,23,4,12500.0,JPMORGAN CHASE BANK NATL ASSOC,0
2006,149652.0,WA,Rural,0.5,72,4,15000.0,JPMORGAN CHASE BANK NATL ASSOC,1
2006,50000.0,FL,Rural,0.85,44,2,42500.0,"BUSINESS LOAN CENTER, LLC",0
2007,47021.0,TX,Rural,0.5,56,5,15000.0,JPMORGAN CHASE BANK NATL ASSOC,0
2006,166496.0,CA,Urban,0.5,54,5,25000.0,BANCO POPULAR NORTH AMERICA,1
2008,59800.0,UT,Urban,0.5,33,3,29900.0,JPMORGAN CHASE BANK NATL ASSOC,1
2008,332000.0,NY,Urban,0.75,81,1,276000.0,MANUFACTURERS & TRADERS TR CO,1
2007,120000.0,MA,Urban,0.5,81,9,60000.0,CITIZENS BANK NATL ASSOC,1
2007,19500.0,WA,Urban,0.5,21,2,5000.0,BANK OF AMERICA NATL ASSOC,1
2006,25000.0,NH,Urban,0.5,23,3,12500.0,CITIZENS BANK NATL ASSOC,0
2007,59111.0,FL,Rural,0.5,44,9,12500.0,BANCO POPULAR NORTH AMERICA,0
2010,625000.0,OK,Rural,0.9,81,11,562500.0,BANK OF HYDRO,1
2007,25300.0,NY,Urban,0.5,44,3,12650.0,JPMORGAN CHASE BANK NATL ASSOC,0
2005,20000.0,RI,Urban,0.5,44,1,10000.0,CITIZENS BANK NATL ASSOC,1
2005,50000.0,MN,Urban,0.5,42,11,25000.0,CAPITAL ONE NATL ASSOC,1
2001,100000.0,SC,Urban,0.5,42,9,50000.0,WELLS FARGO BANK NATL ASSOC,1
2004,300000.0,NH,Urban,0.75,45,4,225000.0,ENTERPRISE BK & TR CO,1
2001,25000.0,MI,Urban,0.5,45,2,12500.0,"PNC BANK, NATIONAL ASSOCIATION",1
2001,825000.0,CA,Urban,1.0,44,30,825000.0,BAY AREA EMPLOYMENT DEVEL CO,1
2007,51100.0,WI,Urban,0.5,42,13,25550.0,ASSOCIATED BANK NATL ASSOC,1
2003,60000.0,TX,Urban,0.5,42,1,25000.0,BANK OF AMERICA NATL ASSOC,1
2009,175000.0,RI,Rural,0.5,48,6,87500.0,BANKFIVE,1
2009,96832.0,WA,Urban,0.5,61,5,50000.0,MOUNTAIN W. BANK A DIVISION OF,0
2008,333585.0,MI,Urban,0.5,54,8,100000.0,TALMER BANK AND TRUST,1
2006,94722.0,NJ,Urban,0.5,72,2,25000.0,SUN NATIONAL BANK,1
2008,25000.0,MD,Urban,0.5,23,3,12500.0,BANK OF AMERICA NATL ASSOC,1
2009,360000.0,MO,Rural,0.9,56,3,324000.0,LIBERTY BANK,0
2005,10000.0,CA,Urban,0.5,61,2,5000.0,BANK OF AMERICA NATL ASSOC,1
2006,28943.0,CA,Urban,0.5,54,5,10000.0,WELLS FARGO BANK NATL ASSOC,1
2004,236000.0,ME,Rural,1.0,72,7,236000.0,GRANITE ST. ECONOMIC DEVEL COR,1
2004,25000.0,OR,Urban,0.5,33,1,12500.0,U.S. BANK NATIONAL ASSOCIATION,1
2007,64508.0,TX,Urban,0.5,81,2,25000.0,JPMORGAN CHASE BANK NATL ASSOC,0
2005,267962.0,UT,Rural,0.85,51,10,127500.0,ZIONS FIRST NATIONAL BANK,1
2005,25634.0,VA,Urban,0.5,44,1,7500.0,BANK OF AMERICA NATL ASSOC,0
2006,40000.0,NY,Urban,0.5,48,1,20000.0,JPMORGAN CHASE BANK NATL ASSOC,0
2007,283042.0,CA,Urban,0.5,54,2,42500.0,WELLS FARGO BANK NATL ASSOC,1
2010,200000.0,NY,Rural,0.5,23,9,100000.0,HSBC BK USA NATL ASSOC,1
2006,1142000.0,NY,Urban,0.75,62,8,856500.0,"READYCAP LENDING, LLC",1
2007,74750.0,AK,Urban,0.5,72,15,25000.0,KEYBANK NATIONAL ASSOCIATION,1
2004,75000.0,NJ,Urban,0.5,54,2,37500.0,BANK OF AMERICA NATL ASSOC,1
2005,26572.0,CA,Urban,0.5,54,5,12500.0,CAPITAL ONE NATL ASSOC,0
2007,96721.0,WA,Urban,0.5,51,5,7500.0,MOUNTAIN W. BANK A DIVISION OF,1
2007,107261.0,AZ,Urban,0.5,72,2,25000.0,JPMORGAN CHASE BANK NATL ASSOC,0
2001,250000.0,MN,Urban,0.5,23,30,125000.0,WELLS FARGO BANK NATL ASSOC,1
2008,80939.0,TN,Rural,0.5,44,15,20000.0,U.S. BANK NATIONAL ASSOCIATION,1
2005,100000.0,IL,Urban,0.5,48,2,50000.0,CITIZENS BANK NATL ASSOC,0
2000,25000.0,MO,Rural,0.5,51,1,12500.0,MIDWEST BANKCENTRE,1
2007,166969.0,IN,Urban,0.5,23,6,35000.0,CITIZENS BANK NATL ASSOC,1
2007,695077.0,CA,Urban,0.5,32,47,175000.0,WELLS FARGO BANK NATL ASSOC,1
2006,50000.0,MI,Urban,0.5,81,4,25000.0,CITIZENS BANK NATL ASSOC,0
2007,15000.0,FL,Urban,0.5,62,4,7500.0,CAPITAL ONE NATL ASSOC,1
2010,50000.0,NY,Urban,0.5,62,6,25000.0,GENESEE REGIONAL BANK,1
2006,341106.0,CT,Urban,0.5,23,14,37500.0,CITIZENS BANK NATL ASSOC,1
2006,24742.0,MD,Urban,0.5,51,3,12500.0,FIRST TENNESSEE BANK NATL ASSO,1
2000,115498.0,ME,Urban,0.5,44,4,44800.0,BANK OF AMERICA NATL ASSOC,1
2009,25000.0,NJ,Urban,0.85,81,4,21250.0,BBCN BANK,0
2008,37500.0,TX,Urban,0.5,72,2,12500.0,WELLS FARGO BANK NATL ASSOC,0
2002,10250.0,MS,Urban,0.5,23,1,5100.0,TRUSTMARK NATIONAL BANK,1
2007,6064.0,NJ,Urban,0.5,54,2,2500.0,BANCO POPULAR NORTH AMERICA,0
2007,63800.0,CO,Urban,0.5,72,4,31900.0,U.S. BANK NATIONAL ASSOCIATION,0
2008,658500.0,WA,Urban,0.75,44,10,493875.0,U.S. BANK NATIONAL ASSOCIATION,1
2006,163602.0,CA,Urban,0.5,56,1,22500.0,BANK OF AMERICA NATL ASSOC,1
2007,159181.0,IL,Rural,0.5,44,6,25000.0,"PNC BANK, NATIONAL ASSOCIATION",1
2004,34282.0,OR,Urban,0.5,54,10,10000.0,WELLS FARGO BANK NATL ASSOC,1
2006,24551.0,IL,Urban,0.5,23,2,5000.0,U.S. BANK NATIONAL ASSOCIATION,0
2007,10000.0,OR,Urban,0.5,33,2,5000.0,BBCN BANK,0
2007,43285.0,NV,Urban,0.5,81,1,12000.0,U.S. BANK NATIONAL ASSOCIATION,0
2001,75000.0,ME,Rural,0.85,72,15,63750.0,THE BANK OF MAINE,1
2002,292808.0,MD,Urban,0.5,45,8,75000.0,MANUFACTURERS & TRADERS TR CO,1
2007,370000.0,FL,Urban,0.75,56,2,277500.0,UPS CAPITAL BUSINESS CREDIT,1
2007,50472.0,NV,Rural,0.5,56,5,9000.0,JPMORGAN CHASE BANK NATL ASSOC,1
2007,50000.0,VA,Urban,0.5,42,2,25000.0,CAPITAL ONE NATL ASSOC,0
2007,25000.0,CA,Urban,0.5,44,1,12500.0,CAPITAL ONE NATL ASSOC,1
2002,25965.0,MA,Urban,0.5,81,1,5000.0,BANK OF AMERICA NATL ASSOC,1
2001,10000.0,WA,Urban,0.5,45,2,5000.0,KEYBANK NATIONAL ASSOCIATION,1
2006,25000.0,MT,Rural,0.85,23,1,21250.0,"BUSINESS LOAN CENTER, LLC",1
2006,80000.0,OH,Urban,0.5,54,4,40000.0,CITIZENS BANK NATL ASSOC,0
2008,175000.0,MA,Urban,0.5,33,10,87500.0,ENTERPRISE BK & TR CO,1
2007,154800.0,MA,Urban,0.5,54,15,50000.0,WESTFIELD BANK,1
2002,327050.0,CA,Urban,0.750001528818223,54,4,245288.0,CALIFORNIA UNITED BANK,1
2007,196516.0,GA,Rural,0.5,54,1,75000.0,WELLS FARGO BANK NATL ASSOC,1
2001,10100.0,CT,Urban,0.5,56,1,5000.0,BANK OF AMERICA NATL ASSOC,1
2001,115000.0,MD,Urban,0.75,45,28,86250.0,SUNTRUST BANK,1
2007,36167.0,NY,Rural,0.5,56,5,10000.0,JPMORGAN CHASE BANK NATL ASSOC,1
2001,506000.0,OH,Urban,1.0,72,1,506000.0,GROWTH CAPITAL CORP.,1
2007,22083.0,ND,Rural,0.5,44,2,5000.0,WELLS FARGO BANK NATL ASSOC,1
2002,25000.0,VT,Urban,0.5,45,4,12500.0,CHITTENDEN TR COMPANY A DIVISI,1
2008,950000.0,TX,Urban,0.75,44,6,712500.0,PACIFIC WESTERN BANK,1
2008,135291.0,GA,Urban,0.5,53,2,25000.0,CAPITAL ONE NATL ASSOC,1
